type,layer,block,x,y
INSERT,AXIS,_AXISO,-5262678.92019265,-9507131.640163073
INSERT,AXIS,_AXISO,-5255844.802674979,-9508646.512353928
INSERT,AXIS,_AXISO,-5249498.836408563,-9510053.179388293
INSERT,AXIS,_AXISO,-5243152.870142147,-9511459.846422653
INSERT,AXIS,_AXISO,-5508625.137145869,-9474024.473574109
INSERT,AXIS,_AXISO,-5507434.880424489,-9468654.809810225
INSERT,AXIS,_AXISO,-5510562.006826138,-9482762.38155266
INSERT,AXIS,_AXISO1,-5510259.035008861,-9481395.557468172
INSERT,AXIS,_AXISO2,-5510150.829852372,-9480907.406216912
INSERT,AXIS,_AXISO,-5505498.008123323,-9459916.902412626
INSERT,AXIS,_AXISO2,-5505800.982561493,-9461283.725916155
INSERT,AXIS,_AXISO1,-5505909.187717987,-9461771.877167423
INSERT,AXIS,_AXISO,-5239128.428132834,-9528128.470037993
INSERT,AXIS,_AXISO,-5237191.555831673,-9519390.562640396
INSERT,AXIS,_AXISO2,-5237494.530269843,-9520757.386143923
INSERT,AXIS,_AXISO1,-5237602.735426334,-9521245.537395195
INSERT,AXIS,_AXISO,-5239593.710305741,-9530227.520418419
INSERT,AXIS,_AXISO,-5505140.93110691,-9458306.00328346
INSERT,AXIS,_AXISO,-5503701.802525604,-9451813.591641666
