method,occupant_name,exit_time_s,congestion_time_total_s,distance_m
Pathfinder Goto Any Exit,57999,91.425,0.175,0
Pathfinder Goto Any Exit,58000,107.85,0.175,0
Pathfinder Goto Any Exit,58001,113.05,0.175,0
Pathfinder Goto Any Exit,58002,54.65,0.175,0
Pathfinder Goto Any Exit,58003,99.4,0.175,0
Pathfinder Goto Any Exit,58004,92.325,1.875,0
Pathfinder Goto Any Exit,58005,75.325,0.175,0
Pathfinder Goto Any Exit,58006,112.325,0.175,0
Pathfinder Goto Any Exit,58007,122.05,0.175,0
Pathfinder Goto Any Exit,58008,94.975,0.175,0
Pathfinder Goto Any Exit,58009,93.95,0.175,0
Pathfinder Goto Any Exit,58010,98.275,0.175,0
Pathfinder Goto Any Exit,58011,59.775,0.175,0
Pathfinder Goto Any Exit,58012,119.2,0.175,0
Pathfinder Goto Any Exit,58013,114.35,0.175,0
Pathfinder Goto Any Exit,58014,128.95,6.275,0
Pathfinder Goto Any Exit,58015,63.25,0.175,0
Pathfinder Goto Any Exit,58016,62.075,0.175,0
Pathfinder Goto Any Exit,58017,111.35,0.175,0
Pathfinder Goto Any Exit,58018,58.875,0.175,0
Pathfinder Goto Any Exit,58019,92.9,0.175,0
Pathfinder Goto Any Exit,58020,110.95,0.175,0
Pathfinder Goto Any Exit,58021,106.3,0.175,0
Pathfinder Goto Any Exit,58022,111.675,0.175,0
Pathfinder Goto Any Exit,58023,72.85,0.175,0
Pathfinder Goto Any Exit,58024,72.725,0.175,0
Pathfinder Goto Any Exit,58025,63.35,0.175,0
Pathfinder Goto Any Exit,58026,88.275,0.175,0
Pathfinder Goto Any Exit,58027,106.425,0.175,0
Pathfinder Goto Any Exit,58028,106.3,0.175,0
Pathfinder Goto Any Exit,58029,97.85,0.175,0
Pathfinder Goto Any Exit,58030,73.725,0.175,0
Pathfinder Goto Any Exit,58031,72.025,0.175,0
Pathfinder Goto Any Exit,58032,93.55,0.175,0
Pathfinder Goto Any Exit,58033,94.575,2.8,0
Pathfinder Goto Any Exit,58034,81.05,0.175,0
Pathfinder Goto Any Exit,58035,55.7,0.175,0
Pathfinder Goto Any Exit,58036,62.225,0.175,0
Pathfinder Goto Any Exit,58037,84.075,0.175,0
Pathfinder Goto Any Exit,58038,128.8,0.175,0
Pathfinder Goto Any Exit,58039,74.575,0.175,0
Pathfinder Goto Any Exit,58040,125.95,0.175,0
Pathfinder Goto Any Exit,58041,76.2,0.175,0
Pathfinder Goto Any Exit,58042,75.425,0.175,0
Pathfinder Goto Any Exit,58043,107.1,0.175,0
Pathfinder Goto Any Exit,58044,127.425,0.175,0
Pathfinder Goto Any Exit,58045,68.5,0.175,0
Pathfinder Goto Any Exit,58046,84.075,0.175,0
Pathfinder Goto Any Exit,58047,53.55,0.175,0
Pathfinder Goto Any Exit,58048,90.0,0.175,0
Pathfinder Goto Any Exit,58049,63.1,0.175,0
Pathfinder Goto Any Exit,58050,95.575,0.175,0
Pathfinder Goto Any Exit,58051,57.9,0.175,0
Pathfinder Goto Any Exit,58052,123.6,0.175,0
Pathfinder Goto Any Exit,58053,119.05,0.175,0
Pathfinder Goto Any Exit,58054,113.925,0.175,0
Pathfinder Goto Any Exit,58055,127.45,0.175,0
Pathfinder Goto Any Exit,58056,130.425,4.25,0
Pathfinder Goto Any Exit,58057,79.925,0.175,0
Pathfinder Goto Any Exit,58058,88.975,0.175,0
Pathfinder Goto Any Exit,58059,78.4,0.175,0
Pathfinder Goto Any Exit,58060,118.175,0.175,0
Pathfinder Goto Any Exit,58061,65.1,0.175,0
Pathfinder Goto Any Exit,58062,56.925,0.175,0
Pathfinder Goto Any Exit,58063,108.125,0.175,0
Pathfinder Goto Any Exit,58064,89.275,0.175,0
Pathfinder Goto Any Exit,58065,69.6,0.175,0
Pathfinder Goto Any Exit,58066,96.675,2.475,0
Pathfinder Goto Any Exit,58067,98.675,0.175,0
Pathfinder Goto Any Exit,58068,126.65,0.175,0
Pathfinder Goto Any Exit,58069,68.65,0.175,0
Pathfinder Goto Any Exit,58070,87.475,0.175,0
Pathfinder Goto Any Exit,58071,71.15,0.175,0
Pathfinder Goto Any Exit,58072,91.9,0.175,0
Pathfinder Goto Any Exit,58073,83.125,0.175,0
Pathfinder Goto Any Exit,58074,125.0,1.575,0
Pathfinder Goto Any Exit,58075,68.225,0.175,0
Pathfinder Goto Any Exit,58076,69.275,0.175,0
Pathfinder Goto Any Exit,58077,113.2,0.175,0
Pathfinder Goto Any Exit,58078,99.3,0.175,0
Pathfinder Goto Any Exit,58079,64.4,0.175,0
Pathfinder Goto Any Exit,58080,108.8,1.625,0
Pathfinder Goto Any Exit,58081,119.55,0.175,0
Pathfinder Goto Any Exit,58082,97.45,0.175,0
Pathfinder Goto Any Exit,58083,49.05,0.175,0
Pathfinder Goto Any Exit,58084,69.8,0.175,0
Pathfinder Goto Any Exit,58085,128.225,0.275,0
Pathfinder Goto Any Exit,58086,85.8,0.175,0
Pathfinder Goto Any Exit,58087,127.8,0.175,0
Pathfinder Goto Any Exit,58088,128.775,5.575,0
Pathfinder Goto Any Exit,58089,122.1,0.175,0
Pathfinder Goto Any Exit,58090,73.7,0.175,0
Pathfinder Goto Any Exit,58091,65.475,0.175,0
Pathfinder Goto Any Exit,58092,112.1,0.175,0
Pathfinder Goto Any Exit,58093,64.075,0.175,0
Pathfinder Goto Any Exit,58094,126.675,0.175,0
Pathfinder Goto Any Exit,58095,125.3,2.775,0
Pathfinder Goto Any Exit,58096,101.525,0.175,0
Pathfinder Goto Any Exit,58097,67.25,0.175,0
Pathfinder Goto Any Exit,58098,56.45,0.175,0
Pathfinder Goto Any Exit,58099,100.0,0.175,0
